pid,lat,lon,coords,points
4366548186,53.3751,-2.96676,POINT (-2.96676 53.3751),POINT (-2.96676 53.3751)
4280027902,53.4088,-2.98081,POINT (-2.98081 53.4088),POINT (-2.98081 53.4088)
4349254191,53.4055,-2.96523,POINT (-2.96523 53.4055),POINT (-2.96523 53.4055)
4257259389,53.4081,-2.98036,POINT (-2.98036 53.4081),POINT (-2.98036 53.4081)
4259838757,53.417,-2.90102,POINT (-2.90102 53.417),POINT (-2.90102 53.417)
4333310806,53.4036,-2.96361,POINT (-2.96361 53.4036),POINT (-2.96361 53.4036)
4297900971,53.4079,-2.99387,POINT (-2.99387 53.4079),POINT (-2.99387 53.4079)
4291847460,53.4059,-2.9687,POINT (-2.9687 53.4059),POINT (-2.9687 53.4059)
4366550458,53.3825,-2.97595,POINT (-2.97595 53.3825),POINT (-2.97595 53.3825)
4399690832,53.4063,-2.96663,POINT (-2.96663 53.4063),POINT (-2.96663 53.4063)
4365807253,53.3744,-2.96555,POINT (-2.96555 53.3744),POINT (-2.96555 53.3744)
4358907197,51.5063,-0.12714,POINT (-0.12714 51.5063),POINT (-0.12714 51.5063)
4368454460,57.1466,-3.81878,POINT (-3.81878 57.1466),POINT (-3.81878 57.1466)
4399070692,51.5072,-2.63889,POINT (-2.63889 51.5072),POINT (-2.63889 51.5072)
4283215570,51.7529,-1.25379,POINT (-1.25379 51.7529),POINT (-1.25379 51.7529)
4399019720,53.3791,-1.48021,POINT (-1.48021 53.3791),POINT (-1.48021 53.3791)
4284959500,53.3787,-1.4679,POINT (-1.4679 53.3787),POINT (-1.4679 53.3787)
4359366881,53.3808,-1.46974,POINT (-1.46974 53.3808),POINT (-1.46974 53.3808)
4392862156,50.6215,-2.27557,POINT (-2.27557 50.6215),POINT (-2.27557 50.6215)
4401887324,51.5139,-0.098662,POINT (-0.098662 51.5139),POINT (-0.098662 51.5139)
4233524842,51.0675,-1.31903,POINT (-1.31903 51.0675),POINT (-1.31903 51.0675)
4233524862,51.0629,-1.31293,POINT (-1.31293 51.0629),POINT (-1.31293 51.0629)
4233524856,51.062,-1.31237,POINT (-1.31237 51.062),POINT (-1.31237 51.062)
4233524846,51.0626,-1.31174,POINT (-1.31174 51.0626),POINT (-1.31174 51.0626)
4233524850,51.062,-1.31234,POINT (-1.31234 51.062),POINT (-1.31234 51.062)
4340308803,52.6345,-1.13169,POINT (-1.13169 52.6345),POINT (-1.13169 52.6345)
4359145698,52.6349,-1.13807,POINT (-1.13807 52.6349),POINT (-1.13807 52.6349)
4293424243,51.3866,-2.35925,POINT (-2.35925 51.3866),POINT (-2.35925 51.3866)
4377470128,53.3782,-6.59916,POINT (-6.59916 53.3782),POINT (-6.59916 53.3782)
4286567006,53.3801,-6.58242,POINT (-6.58242 53.3801),POINT (-6.58242 53.3801)
4289467246,53.3801,-6.58242,POINT (-6.58242 53.3801),POINT (-6.58242 53.3801)
4275619106,53.3801,-6.58242,POINT (-6.58242 53.3801),POINT (-6.58242 53.3801)
4291132219,53.3801,-6.58242,POINT (-6.58242 53.3801),POINT (-6.58242 53.3801)
4325998809,53.3801,-6.58242,POINT (-6.58242 53.3801),POINT (-6.58242 53.3801)
4275369356,53.3801,-6.58242,POINT (-6.58242 53.3801),POINT (-6.58242 53.3801)
4280446114,53.3801,-6.58242,POINT (-6.58242 53.3801),POINT (-6.58242 53.3801)
4302192422,54.373,-3.11078,POINT (-3.11078 54.373),POINT (-3.11078 54.373)
4385298679,53.3796,-6.60044,POINT (-6.60044 53.3796),POINT (-6.60044 53.3796)
4257357815,53.3863,-6.56379,POINT (-6.56379 53.3863),POINT (-6.56379 53.3863)
4325884933,53.378,-6.55605,POINT (-6.55605 53.378),POINT (-6.55605 53.378)
4250774019,51.7161,-0.337893,POINT (-0.337893 51.7161),POINT (-0.337893 51.7161)
4280114004,53.3783,-6.59082,POINT (-6.59082 53.3783),POINT (-6.59082 53.3783)
4251920143,53.3811,-6.62108,POINT (-6.62108 53.3811),POINT (-6.62108 53.3811)
4251592400,51.717,-0.332508,POINT (-0.332508 51.717),POINT (-0.332508 51.717)
4377405656,53.3795,-6.59967,POINT (-6.59967 53.3795),POINT (-6.59967 53.3795)
4238006801,53.3795,-6.59904,POINT (-6.59904 53.3795),POINT (-6.59904 53.3795)
